year,state,act,jim_crow
1885,North Carolina,"That the capital stock of said company may be created by subscription or contribution on the part of governments, individuals, counties, townships, towns or cities, or by banking, railroad, or other corporations in shares of the value of one hundred dollars each, the same having been approved by a vote of the people of the county, township, town or city, or properly authorized officers of corporations.",0
1885,North Carolina,.,0
1891,North Carolina,"That the words  marsh and swamp land  employed in section twenty-seven hundred and fifty-one -  The Code, and the words swamp lands employed in the statutes creating the literary fund and literary board of North Carolina and the state board of education of North Carolina, or in any act in relation thereto, shall be construed to include all those lands which have been or may now be known and called swamp or  marsh lands, * pocosin bay,  briary bay and savanna, and all lands which may be covered by the waters of any lake or pond.",0
1935,North Carolina,"The Board shall have complete control and jurisdiction over the importation, transportation, sale and distribution of alcoholic beverages within New Hanover County, as hereinafter provided, and shall have the exclusive power to buy in the manner hereinafter set forth, have in its possession and sell in its own name all alcoholic beverages distributed within New Hanover County.",0
1935,North Carolina,"The Board shall adopt rules and regulations governing the carrying out of this act, and any supplemental acts, which said regulations shall have the force and effect of law.",0
1935,North Carolina,All rules and regulations promulgated by the Board shall be published in pamphlet form and supplied to the public on request.,0
1911,North Carolina,"That the mayor of said town is hereby constituted an inferior court, and as such shall, within the corporate limits of the town, have all the power, jurisdiction and authority of a justice of the peace to preserve and keep the peace, to issue process, to hear and determine all causes of action which may arise upon the ordinances and regulations of the town, to enforce penalties by issuing execution upon any adjudged violation thereof, and to execute the by-laws, rules and regulations made by the commissioners.",0
1911,North Carolina,"The mayor shall further be a special court within the corporate limits of the town to arrest and try all persons who are charged with a misdemeanor for violating any ordinance of the town, and if the accused be found guilty, he shall be fined at the discretion of the court or mayor, not exceeding the amount specified in the ordinance or ordinances so violated, or at the discretion of the mayor or court trying the same such offender may be imprisoned not more than thirty days in the common jail of the county.",0
1911,North Carolina,If the accused is dissatisfied with the judgment of the mayor or court he may appeal in like manner as prescribed for appeals from judgments of a justice of the peace.,0
1967,North Carolina,All laws and clauses of laws in conflict with this Act are hereby repealed.,0
1911,North Carolina,"That section one hundred and twenty-four of chapter thirty-nine, Private Laws of nineteen hundred and seven, be amended by striking out the word any in line ten and inserting in lieu thereof the words a sufficient, and by striking out the word may in line eleven and inserting in lieu thereof the word shall.",0
1927,North Carolina,"The tax collector shall receive an annual salary, for all services done and performed by him in connection with the collection of, and accounting for all taxes, of not exceeding three thousand   per annum, which salary shall be paid to him by the county commissioners in monthly installments of one-twelfth part thereof each.",0
1927,North Carolina,"The board of eounty commissioners shall have the power to fix the salary of the tax collector in their discretion not exceeding three thousand  {dollars] per annum, The board of county commissioners shall have the authority hereunder and are charged with the duty to employ such clerical assistance, if any, as may be necessary to the proper execution of the duties of this office, and shall fix the salary for such clerical assistants, not to exceed one hundred dollars  per month.",0
1891,North Carolina,"The board of directors hereinbefore provided for shall consist of not less than five nor more than nine, who shall be elected from the stockholders, and shall be elected by the stockholders at their annual meeting to be held on such day as the stockholders in their first meeting may direct, and shall continue in office for the term of one year from and after the date of their election and until their successors are elected and accept the duties of the office.",0
1891,North Carolina,"And in case of the death, resignation or incapacity of any member of the board of directors during his term of office, the said board shall elect his successor for the unexpired term and in case of the death,,resignation or incapacity of the president during his term of office, then the said board of directors shall elect one of their number to fill the unexpired term and also to elect a member of their board as hereinbefore provided for to fill the vacancy occasioned by the election of the president.",0
1905,North Carolina,"That the said several issues of the bonds of the said counties shall be sold by the said boards of commissioners, respectively, for not less than their par value and the amount realized from such sales used by them in paying the costs and charges of constructing and building the said bridge, including the approaches thereto, according to the liability of each of said counties therefor when proportioned in the manner provided in section one - of this act.",0
1927,North Carolina,"That in all cases where an inebriate, lunatic, or incompetent, from want of understanding to manage his or her own affairs by reason of the excessive use of intoxicating drinks or other causes, and such inebriate, lunatic, or incompetent has been so judicially declared and pursuant to such judicial finding such inebriate, lunatic, or incompetent has had a guardian appointed, is the maker or one of the makers, a surety, or one of the sureties, an endorser or one of the endorsers of any note, bond or other obligation, for the payment of money which is due or past due at the time of the appointment of said guardian, or shall thereafter become due prior to the settlement of the estate of the said ward, the guardian of said wards estate is hereby authorized and empowered to execute as such guardian a new note, bond or other obligation for the payment of money, in the same capacity as ward was obligated for the same amount or less, but not greater than the sum due on the original obligation which shall be in lieu of the original obligation of the ward, whether made payable to the original holder or another, and is authorized and empowered to renew said note, bond, or other obligation for the payment of money from time to time, and said note, bond or other obligation for the payment of money so executed by said guardian shall be binding upon the estate of said ward to the same extent and in the same manner and with the same effect that the original note, bond or other obligation for the payment of money so executed by the ward was binding upon his estate: Provided, the time for final payment of the note, bond or other obligation for the payment of money, or any renewal thereof by said guardian shall not extend beyond a. period of two years from the qualification of the original guardian as such upon the estate of said ward.",0
1915,North Carolina,"That the said bonds shall be payable or redeemable at such place or places and such time or times as may be determined on by the said board of commissioners, not exceeding fifty years from the date thereof.",0
1911,North Carolina,"That the commissioners of said town are hereby directed and allowed to use the taxes levied and collected in said town for the purpose of defraying the expenses of said corporation and for working and repairing streets and sidewalks therein, and in keeping the same in good and passable condition.",0
1967,North Carolina,"It shall be unlawful for any person to hunt, take, kill, or attempt to take or attempt to kill deer in Camden County with a rifle provided, that it shall be lawful to hunt, take, kill or attempt to take or attempt to kill deer with a rifle from a stand at least eight feet high, or while hunting on ones own land or while hunting on land owned or leased by a hunt club of which the hunter is a member, or while hunting on land with the permission of the owner.",0
1889,North Carolina,"That the board of commissioners shall have power and authority to levy and collect a special tax not exceeding fifty dollars upon every circus company for each separate exhibition within the town upon every person or company exhibiting within the town limits dogs or theatrical plays, sleight-of-hand performance, rope or wire dancing and tumbling, and menageries, and the exhibition for reward of artificial models or curiosities , a tax not to exceed twenty dollars for each separate exhibition, said tax to be paid before the exhibition, or the tax may be doubled: upon any other exhibition for reward not enumerated above, five dollars for each exhibition: Provided, that this act shall not apply to exhibitions by amateur companies, when said exhibition is for a religious or charitable object: And provided further, that the board of commissioners are authorized and empowered to remit a part or the whole of any of the taxes allowed in this section upon good and satisfactory cause being shown to them by the exhibition : And provided further, that the tax-collector, in case of a failure on the part of any of the exhibition  above specified to pay said tax before exhibiting, shall, immediately after the exhibition closes, demand from said exhibitions , the manager or treasurer, if he or she be known, if not, any member of the company, double the amount of the tax, and if it be not paid, he shall immediately levy on any of the goods or property belonging to said company, or any of them, or which was used in the exhibition or exhibitions given by them.",0
1931,North Carolina,That all laws and clauses of laws in conflict with the provisions of this act are hereby repealed.,0
1941,North Carolina,Declaration of Policy.,0
1941,North Carolina,"It is hereby declared as the public policy of this State that the best interests of the people of the State are served by the prevention or prompt settlement of labor disputes that strikes and lockouts and other forms of industrial strife, regardless of where the merits of the controversy lie, are forces productive ultimately of economic waste that the interests and rights of the consumers and the people of the State, while not direct parties thereto, should always be considered, respected and protected and that the conciliation and voluntary meditation of such disputes under the guidance and supervision of a governmental agency will tend to promote permanent industrial peace and the health, welfare, comfort and safety of the people of the State.",0
1941,North Carolina,"To carry out such policy, the necessity for the enactment of the provisions of this Article is hereby declared as a matter of legislative determination.",0
1935,North Carolina,"That said cash depository shall be to the same extent as any State Bank subject to examination by and the supervision of the Commissioner of Banks and to the Statutes of North Carolina, and particularly to the following sections of the Consolidated Statutes of North Carolina as amended:  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , and    Provided, however, that said cash depository shall not make any loan of the moneys coming into its hands.",0
1889,North Carolina,"That any person violating the provisions of this act shall be guilty of a misdemeanor, and on conviction thereof shall be fined not less than fifty or more than two hundred dollars or imprisoned not  less thansixty or more than one hundred days.",0
1959,North Carolina,"G. S. -, as the same appears in the  Cumulative Supplement to Volume B of the General Statutes, is hereby amended as follows:   Paragraph one of subsection  is amended by adding at the end thereof the following: Upon determining that the district should be created and established, and prior to the submission of the question of the formation of the district to the voters of the proposed district, the board of county commissioners may determine the maximum amount of special tax to be levied for mosquito control purposes should the formation of the district be approved by the voters provided, however, that in no event shall the maximum authorized levy exceed thirty-five cents  upon the one one hundred dollar  assessed valuation.",0
1959,North Carolina,If the board of county commissioners determines that the maximum amount of special tax to be levied for mosquito control purposes should the voters approve the formation of the proposed district is to be less than thirty-five cents  on the one hundred dollar  valuation the maximum amount thus determined must appear on the ballot to be used by the voters voting on the question of the creation of the district.,0
1959,North Carolina,Paragraph four of subsection  is amended by adding immediately following the word tax and immediately preceding the word for in lines four and six of said paragraph the following words and punctuation: There insert the words not to exceed and the maximum amount of special tax to be levied for mosquito control purposes if the board of county commissioners has determined that the maximum authorized amount is to be less than thirty-five cents  on the one hundred dollar  assessed valuation].,0
1931,North Carolina,"That it shall be unlawful for any person to hunt xxes in Harnett, Cumberland, Sampson, Hoke and Lee Counties ccept during the period each year from September first to arch fifteenth, both dates inclusive, and then only with dogs, :cept that foxes may be killed in any manner at any time during .e year when caught in the act of committing or about to comit depredations to domestic live stock and poultry.",0
1933,North Carolina,Property exempt.,0
1933,North Carolina,The following property shall be exempt from taxation under this article: .,0
1933,North Carolina,"Property passing to or for the use of the State of North Carolina, or to or for the use of municipal corporations within the State or other political subdivisions thereof, for exclusively public purposes. . Property passing to religious, charitable, or educational corporations, or to churches, hospitals, orphan asylums, public libraries, religious, benevolent, or charitable organizations, or passing to any trustee or trustees for religious, benevolent, or charitable purposes, where such religious, charitable, or educational institutions, corporations, churches, trusts, etc., are located within the State and not conducted for profit. . Property passing to religious, educational, or charitable corporations, not conducted for profit, incorporated under the laws of any other State, and receiving and disbursing funds donated in this State for religious, educational, or charitable purposes. .",0
1933,North Carolina,"Proceeds of life insurance policies, not exceeding in the aggregate twenty thousand dollars, when payable to a beneficiary or beneficiaries named in such policy or policies, and such beneficiary or beneficiaries are any such person or persons as are designated in section three  of this article, and also proceeds of all life insurance policies payable to beneficiaries named in subsections , , and  of this section.",0
1933,North Carolina,"And also proceeds of all policies of insurance paid by the United States Government to the beneficiary or beneficiaries or heirs at law of any deceased soldier of the World War, under the present laws of Congress or any amendment that may be hereafter made thereto.",0
1939,North Carolina,That all laws and clauses of laws in conflict with the provisions of this Act are hereby repealed.,0
1893,North Carolina,"That the said board of commissioners shall at their first meeting in each year elect a town clerk, a tax collector and treasurer: Provided, that the said commissioners may elect the clerk or constable as tax collector, and they may also elect one of their number as treasurer if they choose.",0
1905,North Carolina,"That the Road Commissioners of Waynesville Township, Haywood County, created by chapter three hundred and seventy-five, Public Laws one thousand nine hundred and three, are hereby authorized and directed to pay over to the Board of Aldermen of the town of Waynesville the sum of five thousand dollars , the same being a portion of the sum realized from the sale of bonds issued by virtue of the said chapter, to be expended under the direction of the Board of Aldermen of the town of Waynesville for the purpose of grading, macadamizing and otherwise improving Main Street from a point of intersection of Hilliard and Main Streets at the Presbyterian Church to the point of intersection of Academy Street and Main Street in the said town.",0
1891,North Carolina,"This company is specially invested with the power and privileges usually incident to savings banks, nray receive deposits in very small sums, the limits to be fixed by its board of directors, and may pay interest thereon by way of dividends out of the net savings or by fixed rates according as may be agreed upon between the company and its depositors, and the board of directors are hereby fully authorized to make all needful by-laws and regulations for conducting and carrying into effect the savings bank features of this corporation.",0
1893,North Carolina,"That the board of commissioners of the town of Reidsville shall.at the next regular election cause an election to be held as to whether or not the board of commissioners shall consist of five or seven members if the majority of the votes cast shall be for five - members, then the five names receiving the highest number of votes shall be declared elected if the majority of votes cast shall be for seven members, then the seven names receiving the highest number of votes cast shall be declared elected.",0
1939,North Carolina,"That for the purpose of paying appropriations made for each year of the biennium ending June thirtieth, one thousand nine hundred and forty-one for the various institutions, departments and agencies of the State, the State Treasurer, by and with the consent of the Governor and Council of State, shall have authority to borrow in anticipation of the collection of taxes and revenues for such biennium such sum or sums as may be necessary for such purpose and as may be determined by the Governor and Council of State, and to execute and issue notes of the State for the money so borrowed, and to pledge the credit of the State for the payment thereof.",0
1939,North Carolina,Such notes may be renewed from time to time and money may be borrowed upon new notes from time to time for the payment of any indebtedness evidenced thereby.,0
1939,North Carolina,"All such notes and renewal notes shall bear such date or dates and such rate or rates of interest, and shall mature in such amounts and at such time or times as may be determined by the Governor and Council of State, and shall be executed by the State Treasurer and negotiated and disposed of by him in such a manner as may be determined by the Governor and Council of State.",0
1919,North Carolina,"It shall be the duty of said board and they shall have power and authority to have general supervision of the system of taxation throughout the State, and to have and exercise general supervision over the administration of all assessment and tax laws, over all county, township, and city tax assessors and boards of equalization, to the end that all assessments of property, real, personal, and mixed, be made relatively just and uniform, and at its TRUE value in money to require all county, township, and city assessors, boards of equalization and levy and assessment oflicers, under penalty of forfeiture and removal from office as such assessors or boards, to assess all property of every kind and character at its TRUE value in money.",0
1919,North Carolina,"To confer with and advise assessing officers as to their duties under this act, and to institute proper proceedings to enforce the penalties and liabilities provided by law for public officers, officers of corporations and individuals failing to comply with this act to prefer charges to the Governor against assessing and taxation officers who violate the law or fail in the performance of their duties in reference to assessments and taxation and in the execution of these powers the said board may call upon the Attorney-General or any prosecuting attorney in the State to assist said board, and any person or officer who fails or refuses to comply with any lawful order of the State Tax Commission shall be subject to a penalty or forfeiture of one hundred dollars, the same to be imposed by order of said Commission and in addition any such person or officer so offending shall be liable to punishment by said board as for contempt.",0
1919,North Carolina,"At least thirty days previous to the date fixed for listing taxes, to prepare a pamphlet for the instruction of tax assessors.",0
1919,North Carolina,"said pamphlet shall, in as plain terms as possible, explain the proper working of the tax laws of the State, and shall call particular attention to any points in the administration of the laws which have seemed to be overlooked or neglected.",0
1919,North Carolina,They shall advise the assessors of the practical working of the laws and explain any points which seem to be intricate and upon which assessors may differ.,0
1919,North Carolina,"To receive complaints as to property liable to taxation that has not been assessed or of property that has been fraudulently or improperly assessed through error or otherwise, and to investigate the same, and to take such proceedings and to make such orders as will correct the irregularity complained of, if found to exist.",0
1919,North Carolina,"To see that each county in the State be visited by at least one member of the board as often as is necessary, to the end that all complaints concerning the law of assessment and taxation may be heard that information concerning its workings may be collected  that all assessing and taxation officers comply with the law and all violations thereof be punished, and that all proper suggestions as to amendments and change may be made.",0
1919,North Carolina,"To require from any registers of deeds, clerks of courts, mayors and clerks of towns, or any other officer in this State, on forms prescribed by said Board of State Tax Commissioners, such annual or other reports as shall enable said board to ascertain the assessed valuations of all property listed for taxation throughout the State under this act, the amount of taxes assessed, collected, and returned delinquent, and such other matters as the board may require, to the end that it may have complete and statistical information as to the practical operation of this act that every such officer mentioned in this section who shall willfully neglect or refuse to furnish any report required by the commission for the purposes of this act: or who shall willfully and unlawfully hinder, delay, or obstruct said commission in the discharge of its duties, shall forfeit and pay one hundred dollars for each offense, to be recovered in an action in the name of the State.",0
1919,North Carolina,A delay of ten days to make and furnish such report shall raise the presumption that the same was willful.,0
1919,North Carolina,"To make diligent investigation and inquiry concerning the revenue laws and systems of other States and countries, so far as the same is made known by published reports and statistics and can be ascertained by correspondence with officers thereof, and, with the aid of information thus obtained, together with experience and observation of our own laws, to recommend to the Legislature at each regular session thereof such amendments, changes, or modifications of our revenue laws as seem proper and necessary to remedy injustice and irregularities in taxation and to facilitate the assessment and collection of public revenues.",0
1919,North Carolina,"To further report to the Legislature at each regular session thereof, or at such other times as the Legislature may direct, the whole amount of taxes collected in the State for all purposes, classified as to State, county, township, and municipal purposes, with the sources thereof the amount lost, the cause of the loss, the proceedings of said board, and such other matters of information concerning the public revenues as it may deem of public interest.",0
1919,North Carolina,To discharge such other duties as are or may be prescribed by law.,0
1903,North Carolina,"That the place where delivery of any spirituous, malt, vinous, fermented or other intoxicating liquors is made within the corporate limits of the town of Jonesboro, or within one mile of the railroad depot at Vass, in said county, shall be construed and held to be the place of sale thereof and any station or other place within the corporate limits of the town of Jonesboro, or within one mile of the railroad depot at Vass, in said county, to which any person, company, firm or corporation shall ship or convey any spirituous, malt, vinous, fermented or other intoxicating liquors, for the purpose of delivery or carrying the same to a purchaser, shall be construed to be the place of sale: Provided, this section shall not be construed to prevent the delivery of any spirituous, malt, vinous, fermented or other intoxicating liquors to druggists in sufficient quantities for medical purposes only, or to legally organized dispensaries.",0
1965,North Carolina,"The quoted portion of Section  of Chapter , Session Laws of , is hereby rewritten to read as follows:  That if and when a Recorders Court for the City of Belmont is established under the provisions of this Article, some suitable person who may be an attorney at law and who shall be of good moral character, shall be elected by the Board of Commissioners of the City of Belmont as Recorder of said Court to serve for a term of two - years and until his successor is appointed and qualified, and the Board of Commissioners shall have full power and authority to select and elect the said Recorder, and each successive Recorder biennially thereafter.",0
1965,North Carolina,The said Recorder shall be elected by the Board of Commissioners of the City of Belmont within thirty - days from the creation and establishment of said Court.,0
1965,North Carolina,"If a vacancy occurs in the office of Recorder at any time, the same shall be filled by the election of a successor for the unexpired term by the governing body of the City of Belmont, at a regular or special meeting called for that purpose provided, that before entering upon the discharge of their duties hereunder, the Recorder, the Vice-Recorder and the prosecuting attorney, who may be elected under the provisions of this Article, shall take and subscribe before some person authorized to administer oaths, the oath required of Judge and Solicitors of the Superior Court provided, that the governing body of such city is hereby authorized to provide a schedule of fees to be charged by said Recorder.",0
1891,North Carolina,"Said election of mayor and commissioners shall be held at some house in said town to be selected by said commissioners, and no person shall be entitled to vote at said election or at any election held in said town for municipal purposes unless he shall be an elector of the state of North Carolina and shall have resided ninety days next preceding the day of election within the said corporation.",0
1927,North Carolina,"That it shall be unlawful for any person to hunt, trap, catch, or kill any fox in Chatham County from the first day of March to the first day of September in each year: Provided,) however, that nothing in this act shall be construed to prohibit.",0
1927,North Carolina,"the killing or catching of foxes during said period when actually committing, or about to commit, depredations on property.",0
1901,North Carolina,"That said company shall have the rights granted to the Asheville Electric Company in section six, chapter two hundred and thirty-nine of the Public Laws of",0
1899,North Carolina,That nothing in this act shall be construed to take the }power from the county commissioners to.,0
1899,North Carolina,exempt anyone from ldisability to work on the public roads and all general laws in respect to public roads so far as applicable shall be construed in laid of this act but not in derogation thereof.,0
1913,North Carolina,Commissioners shall have power to exempt sheriff to garnishee if taxes are not paid in sixty days form of attachment.,0
1913,North Carolina,The board of commissioners of the several counties shall have power to exempt any person from the payment of poll tax on account of poverty and infirmity and when any such person has been once exempted he shall not be required to renew his application unless the commissioners shall revoke the exemption.,0
1913,North Carolina,"When such exemption shall have been made, the clerk of the commissioners shall furnish the person with a certificate of such action, and the person to whom it was issued shall be required to list his poll, but upon exhibition of such certificate the list taker shall annually enter in the column intended for the poll the word Exempt, and the poll shall not be charged in computing the list.",0
1913,North Carolina,"If any poll tax or other tax shall not be paid within sixty days after the same shall be demandable it shall be the duty of the sheriff, if he can find no property of the person liable sufficient to satisfy the same, to attach any debt or other property incapable of manual delivery due or belonging to the person liable or that may become due before the expiration of the calendar year, and the person owing such debt or having such property in possession shall be liable for said tax.",0
1913,North Carolina,"Any corporation, firm or person who shall, on demand or request made, re-.",0
1913,North Carolina,"fuse to give to the tax collector of any county, city or town a list giving the names of all persons employed by them who are liable for tax, shall be guilty of a misdemeanor.",0
1913,North Carolina,"For the purpose of carrying into effect the provisions of this section the following form shall be used as an attachment, viz.",0
1913,North Carolina,": Take notice that this is to attach any debt that is now due or: may become due to C D, a delinquent in his poli  tax for the year one thousand nine hundred and ...., and you are hereby summoned to appear before E F, an acting justice of the peace for ........ County, and disclose any indebtedness which is or may be due said delinquent by you during the present calendar year, and to show cause why judgment should not be rendered against you for said delinquent tax and costs of this proceeding.",0
1913,North Carolina,rbiraryAc che Gay OL.,0
1913,North Carolina,"ceecctscce, ... A B, Sheriff, or Tax Collector.",0
1913,North Carolina,"For serving notice the sheriff shall receive twenty-five cents, J and if judgment is rendered the justice shall receive twenty-five cents as costs.",0
1957,North Carolina,All laws and clauses of laws in conflict with this Act are hereby repealed.,0
1917,North Carolina,"The proceeds of the sale of said bonds shall be apportioned to the following objects: Sixteen thousand dollars may be used to pay off any outstanding indebtedness, and the balance shall be thus distributed: Hishschool:  aereseetis Ske ee ,.",0
1917,North Carolina,"Purchasevof balancevotdotaescentere ieee ,.",0
1917,North Carolina,"CarolinasBeachie iat A eee eee ,.",0
1917,North Carolina,"Oak Billie seis BEE SSP ee eee ,.",0
1917,North Carolina,Past Wilningtonnie.,0
1917,North Carolina,"tke ssi oiee eee ,.",0
1917,North Carolina,"Repairs to old high school building...... ,.",0
1917,North Carolina,Peabody.,0
1917,North Carolina,"schoolastaaeee See ae ,.",0
1917,North Carolina,"Williston industrial addition............ ,.",0
1917,North Carolina,Williston.,0
1917,North Carolina,primary: .,0
1917,North Carolina,"s eee eee ,.",0
1917,North Carolina,"Myrtle :Grovesd.t: katie ee Se eee ,.",0
1917,North Carolina,"Ruralj,colored ys asacnt.",0
1917,North Carolina,"te Se Ree ,.",0
1917,North Carolina,"Scottiss Millioaiee Wess Sao Ree eee ,.",0
1917,North Carolina,"South: Wilmine tong sagee sa See eee ,.",0
1917,North Carolina,"Acorn: Braneh :t eee eee eee ,.",0
1917,North Carolina,"iBearsMemorial ss .ee eee ae Se eee ,.",0
1907,North Carolina,"That the said board of graded school trustees and their successors shall be and are hereby constituted a body corporate by the name and style of the Board of the Aurora Graded School Trustees of Aurora, North Carolina, and by that name may sue and be sued, plead and be impleaded, contract and be contracted with, acquire by gift, purchase or devise real and personal property, hold, change, mortgage or sell the same and exercise such other rights and privileges as are incident to other corporations, and said corporation shall have a corporate seal which it may break and change at pleasure.",0
1923,North Carolina,"The justices of the peace of Caswell County shall, upon issuing any warrant, immediately notify the prosecuting attorney of the crime charged and when the same is set for hearing.",0
1933,North Carolina,The funds in the Treasurers hands may be deposited by him to his credit as State Treasurer and Treasurer of the Society in banks upon like terms and secured in like manner as other State deposits.,0
1933,North Carolina,The interest accruing and paid on such deposits shall be added to the funds of the Society.,0
1887,North Carolina,"If for any cause there should be a vancancy in the office of mayor or commissioner of said town, the board of commissioners thereof shall be and are hereby empowered to fill said vacancy or vacancies, and their appointee or appointees shall hold office until the next regular election herein provided for.",0
1927,North Carolina,That this act shall apply to Watauga County only.,0
1933,North Carolina,"It shall be unlawful for any person, persons, firm or corporation to plant, store, distribute or in any way deposit the Japanese, Portuguese or Mongolian oysters in any of the waters of North Carolina.",0
1935,North Carolina,That the jurisdiction of such Court in civil actions shall be as follows:  Jurisdiction concurrent with the justices of the peace within the county.,0
1935,North Carolina,"Jurisdiction concurrent with the Superior Court in all actions founded on contract, wherein the amount involved, exclusive of interest and cost, does not exceed five hundred  dollars.",0
1935,North Carolina,"Jurisdiction concurrent with the Superior Court in all actions not founded on a contract wherein the amount involved, exclusive of interest and cost, does not exceed the sum of five hundred  dollars.",0
1901,North Carolina,"That any person violating tne provisions of this act shall upon conviction be fined not more than fifty dollars, or imprisoned not to exceed thirty days.",0
1903,North Carolina,That tuition in said institution shall be free to all persons in the State who shall sign a pledge to teach in the public schools of North Carolina for a term of not less than two years.,0
1925,North Carolina,"That all appropriations made to the Appalachian Training School for the fiscal year ending June the thirtieth, nineteen hundred and twenty-five, remaining unpaid, at the time of this act, shall be paid to the new corporation in the manner and form provided in the appropriation act of nineteen hundred and twenty-three.",0
1921,North Carolina,That section two thousand one hundred and sixteen of the Consolidated Statutes be and the same is hereby amended by striking out the words February fifteen to December one occurring after the word Rutherford and inserting in lieu thereof the words February fifteen to November fifteen.,0
1924,North Carolina,"That said bonds shall be sold by the board of commissioners of Moore County at either public or private sale, and when said bonds shall have been delivered and paid for at not less than par and accrued interest, they shall constitute valid and binding obligations of said school district, and for the payment of the principal and interest on said bonds a direct annual tax not exceeding fifteen cents  on the one hundred dollars  of value shall be levied by the board of commissioners of Moore County on all the taxable property within the said district.",0
1899,North Carolina,That the question of Waterworks or No waterworks shail be submitted to the quatified voters of said town at the next annua!,0
1899,North Carolina,election for town offices of said town.,0
1899,North Carolina,and at the voting place in each ward there sha!l be aseparate box in which this voie on waterworks shail be polled.,0
1899,North Carolina,"and at said election those in favor of waterworks shall votea written or printed ticket wits Waterworks thereon and those opposed to waterworks shall vote a written or printed ticket with No waterworks thereon, an at the said election the registrars aud poll holders sha'l vote the number of freehollers in their respective wards and the number of said freeholders who vote for and against *Waterworks, and shall certify the same, showing fully the number of votes cast for waterworks, those cast against waterworks and the number of freeho!ders who voted **Waterworks, and the number of freeholders who voted No waterworks.",0
1899,North Carolina,"These certificates shall be sealed and delivered to the cierk of the board of commissioners of said town, who shall present the same to the board of commissioners at their next meeting after said election, whether said meeting be a general or a special meeting and the result of the election in the several wards shall be ascertained by the said board and entered upon the record book of said town and the result posted at the door of the mayor's office of said town and at the post-office door for ten days and if the votes so certified be in favor of waterworks, aud if no exception be filed thereto within ten days, said record shall thereafter import verity, and shal!",0
1899,North Carolina,"be conclusive evidence of the correctness of said returns, and the same shall therefore be received in all the courts of this state and the United States as conclusive evidence of the correctness of the vote polled at said election.",0
1959,North Carolina,All laws and clauses of laws in conflict with this Act are hereby repealed.,0
1915,North Carolina,"That chapter two hundred and sixty-three of the Public Laws of nineteen hundred and three be changed by striking out in section: one all that part from the phrase as follows in line three to the word near in line seven, and inserting instead the following: Beginning on the west side of Haw River on the line between G. W. Stockard and J. C. Thompson, running west, including the farm of G. W. Stockard, to Marys Creek.",0
1913,North Carolina,"That section twenty-nine of said chapter and act be and the same is hereby repealed, and the following substituted in lieu thereof: whenever any person desires to change a road from one part of his land to another part, he shall file his petition in writing with the board of road trustees of that township in which the road to be changed is situated, setting forth the proper change, who in their discretion may appoint two disinterested freeholders who, together with the road overseer of said road, shall go and view said proposed change, and they may permit said change to be made upon such terms and conditions as to them may seem best, and when said change has been made upon a reasonable grade they shall make their report to the board of road trustees of said township, who shall confirm same if the terms and conditions of said change have been complied with.",0
1893,North Carolina,"That section two of chapter three hundred and sixtytwo, laws of one thousand eight hundred and eighty-nine, be amended by striking out the word  three in line two of eection two and inserting in lieu thereof the word two.",0
1893,North Carolina,.,0
1913,North Carolina,"Any person entitled to vote at any primary which may be held under this act shall, on the day said primary is held, be entitled to absent himself from any service or employment in which he is then engaged or employed for a period of one hour, or longer, if necessary, between the time of opening and closing the polls, and such primary elector shall not, because of so absenting himself, be liable to any penalty nor shall any deduction be made, on account of such absence, from his usual salary or wages: Provided, however, that notice of such leave of absence shall be given prior to the taking of same.",0
1913,North Carolina,"Any employer who imposes any penalty or forfeiture on account of such absence or refuses to allow any employee in his employment to attend said primary shall be guilty of a misdemeanor and fined or imprisoned, in the discretion of the court.",0
1911,North Carolina,"In ease the office of mayor or commissioner shall become vacant from death, resignation, removal or otherwise, such office shall be filled by the commissioners of said town, and the person so elected shall serve the term to which his predecessor was elected and until his successor shall be elected and qualified.",0
1879,North Carolina,"That the aldermen of the city of Salem shall impose, levy and collect a corporation tax of not less than five hundred dollars per annum upon every person obtaining a license for any one of the purposes specified in sections fifty and fifty-one of this act: Provided, that nothing in this act shall prohibit the board of aldermen from granting a license to retail malt liquors, such as ale, lager beer and porter, and for such license, if granted, the board of aldermen shall impose, levy and collect a corporation tax of not less than two hundred dollars per annum, and said board of aldermen shall have full power to revoke or recall said license, at pleasure, at any time after granting the same, but the said board of aldermen shall refund the proportionate amount of said tax collected for the unexpired portion of the license year to the party or persons from whom such license may be taken, recalled or revoked, and said aldermen shall grant no license to any person for any one of the purposes herein enumerated until such person shall have paid the whole tax imposed for said license, and proved a good moral character by the oaths of not less than two respectable and responsible citizens of the city, and the said aldermen shall have free and full power to grant or refuse a license to any person for any one of the aforesaid purposes at their discretion.",0
1925,North Carolina,"The bulls selected by the livestock commission shall be from approved herds of pure bred Shorthorns and Herefords, not more than two years, and preferably between the age of fifteen and twenty-four months, and the locality where the bulls are kept must be open for inspection and no bull shall be kept at one place longer than one year.",0
